2016-06-21 14:45:21 [main] INFO  file Message:23 - Finding element by identifier Email using id
2016-06-21 14:45:23 [main] INFO  file Message:23 - Setting the text area with string: teitotestproject@gmail.com
2016-06-21 14:45:23 [main] INFO  file Message:23 - Finding element by identifier next using id
2016-06-21 14:45:23 [main] INFO  file Message:23 - Clicking on element: [[ChromeDriver: chrome on XP (65d2038d4068da93c1d8465416373b4b)] -> id: next]
2016-06-21 14:45:23 [main] INFO  file Message:23 - Finding element by identifier Passwd using id
2016-06-21 14:45:24 [main] INFO  file Message:23 - Setting the text area with string: teitotestprojectpwd
2016-06-21 14:45:24 [main] INFO  file Message:23 - Finding element by identifier signIn using id
2016-06-21 14:45:24 [main] INFO  file Message:23 - Clicking on element: [[ChromeDriver: chrome on XP (65d2038d4068da93c1d8465416373b4b)] -> id: signIn]
2016-06-21 14:45:24 [main] INFO  file Message:23 - Finding element by identifier //a[contains(@title,'Inbox')] using xpath
2016-06-21 14:45:29 [main] INFO  file Message:23 - Clicking on element: [[ChromeDriver: chrome on XP (65d2038d4068da93c1d8465416373b4b)] -> xpath: //a[contains(@title,'Inbox')]]
2016-06-21 14:45:29 [main] INFO  file Message:23 - Finding element by identifier //div[text()='COMPOSE'] using xpath
2016-06-21 14:45:29 [main] INFO  file Message:23 - Clicking on element: [[ChromeDriver: chrome on XP (65d2038d4068da93c1d8465416373b4b)] -> xpath: //div[text()='COMPOSE']]
2016-06-21 14:45:30 [main] INFO  file Message:23 - Finding element by identifier to using name
2016-06-21 14:45:30 [main] INFO  file Message:23 - Setting the text area with string: teitotestproject@gmail.com
2016-06-21 14:45:31 [main] INFO  file Message:23 - Finding element by identifier subjectbox using name
2016-06-21 14:45:31 [main] INFO  file Message:23 - Setting the text area with string: Test Subject
2016-06-21 14:45:32 [main] INFO  file Message:23 - Finding element by identifier //div[@aria-label='Message Body'] using xpath
2016-06-21 14:45:32 [main] INFO  file Message:23 - Setting the text area with string: Test Msg Body
2016-06-21 14:45:32 [main] INFO  file Message:23 - Finding element by identifier //div[text()='Send'] using xpath
2016-06-21 14:45:32 [main] INFO  file Message:23 - Clicking on element: [[ChromeDriver: chrome on XP (65d2038d4068da93c1d8465416373b4b)] -> xpath: //div[text()='Send']]
2016-06-21 14:45:33 [main] INFO  file Message:23 - Getting the text value...
2016-06-21 14:45:33 [main] INFO  file Message:23 - Finding element by identifier //*[text()[contains(.,'Your message has been sent')]] using xpath
2016-06-21 14:45:34 [main] INFO  file Message:23 - The text value is:Your message has been sent. View message
2016-06-21 14:45:34 [main] INFO  file Message:23 - Finding element by identifier //div[@gh='s']/*[@role='button'] using xpath
2016-06-21 14:45:34 [main] INFO  file Message:23 - Clicking on element: [[ChromeDriver: chrome on XP (65d2038d4068da93c1d8465416373b4b)] -> xpath: //div[@gh='s']/*[@role='button']]
2016-06-21 14:45:34 [main] INFO  file Message:23 - Finding element by identifier ms using id
2016-06-21 14:45:34 [main] INFO  file Message:23 - Clicking on element: [[ChromeDriver: chrome on XP (65d2038d4068da93c1d8465416373b4b)] -> id: ms]
2016-06-21 14:45:35 [main] INFO  file Message:23 - Finding element by identifier //label[text()='Vacation responder on']/../../..//input using xpath
